,gamma,sigma,ouverture,authenticité,sociabilité,auto_promotion,exemplarité,communalité,spécificité
open to different cultures,0.804298243049529,0.12452883888248685,0.8043,-,-,-,-,0.6650836850527675,0.3349163149472325
cosmopolitan,0.7315839489614837,0.19229240706416964,0.7316,-,-,-,-,0.577812899505832,0.42218710049416797
international view,0.8875752798532145,0.06418189982868464,0.8876,-,-,-,-,0.7969855868211613,0.20301441317883873
cultural exchange,0.5627503517841478,0.17147927923288106,0.5628,-,-,-,-,0.3653244032221987,0.6346755967778013
personal life,0.7339079272933163,0.14174903364039756,-,0.7339,-,-,-,0.5974122872880578,0.40258771271194216
life experiences,0.7055553303351576,0.13837033761215656,-,0.7056,-,-,-,0.5220865805302981,0.4779134194697019
divers interests,0.6479817352906201,0.30965887873560083,-,0.648,-,-,-,0.5653441837157203,0.43465581628427974
hobbies,0.6848624609247737,0.1229412298762594,-,0.6849,-,-,-,0.5010711357025499,0.4989288642974501
enjoy life,0.7045637410245598,0.13041501978047831,-,0.7046,-,-,-,0.518631512738905,0.48136848726109505
meet new people,0.6356468888250586,0.31499774099348726,-,-,0.6356,-,-,0.5806381846688201,0.4193618153311799
welcoming,0.662393643029625,0.26438367787179146,-,-,0.6624,-,-,0.5338122439657168,0.4661877560342832
friendly,0.7733551204281529,0.20970700354897265,-,-,0.7734,-,-,0.6496667187119742,0.35033328128802577
sociable,0.7069900512802316,0.3543156823657855,-,-,0.707,-,-,0.6272148436439113,0.37278515635608866
interpersonal interaction,0.8600615841880836,0.046551513905552816,-,-,0.8601,-,-,0.7436595395904095,0.25634046040959046
thoughtful service,0.6520499575003842,0.1819594285431272,-,-,-,0.652,-,0.4660803296324378,0.5339196703675622
attentive to needs,0.9482357305681649,0.052278713167157,-,-,-,0.9482,-,0.9040519985271709,0.09594800147282911
willing to help,0.7716228519927301,0.12517602069496406,-,-,-,0.7716,-,0.6303872347639163,0.36961276523608366
responsive,0.6318061062750492,0.1067618412645248,-,-,-,0.6318,-,0.41909881882945993,0.58090118117054
fan of Airbnb,0.9339830094440372,0.07569840563255731,-,-,-,-,0.934,0.8819269480005864,0.11807305199941365
Airbnb community,0.739348983299291,0.16178447258419804,-,-,-,-,0.7393,0.6008249762466512,0.3991750237533488
love Airbnb,0.9226529518310732,0.09730729259481644,-,-,-,-,0.9227,0.8656530320266278,0.1343469679733722
travel with Airbnb,0.8334993890135683,0.07737468060030006,-,-,-,-,0.8335,0.7063616928146145,0.2936383071853855
